TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΑΝΤΕΜΦΡΑΤΤΩ,ἀντεμφράττω,,ἀντεμφράττω,obstruct,obstruct,obstruct,,,,,,http://logeion.uchicago.edu/index.html#ἀντεμφράττω
ΑΝΤΕΜΦΥΟΜΑΙ,ἀντεμφύομαι,,ἀντεμφύομαι,to be inserted opposite,to be inserted opposite,to be inserted opposite,,,,,,http://logeion.uchicago.edu/index.html#ἀντεμφύομαι
ΑΝΤΕΝΑΝΤΙΩΣΙΣ,ἀντεναντίωσις,,ἀντεναντίωσις,positive statement made in a negative form,positive statement made in a negative form,positive statement made in a negative form,,,,,,http://logeion.uchicago.edu/index.html#ἀντεναντίωσις
ΑΝΤΕΝΔΕΙΚΝΥΜΑΙ,ἀντενδείκνυμαι,,ἀντενδείκνυμαι,give contrary indications,give contrary indications,give contrary indications,,,,,,http://logeion.uchicago.edu/index.html#ἀντενδείκνυμαι
ΑΝΤΕΝΔΕΙΞΙΣ,ἀντένδειξις,,ἀντένδειξις,counter-indication,counter-indication,counter-indication,,,,,,http://logeion.uchicago.edu/index.html#ἀντένδειξις
ΑΝΤΕΝΔΙΔΩΜΙ,ἀντενδίδωμι,,ἀντενδίδωμι,to give way in turn,to give way in turn,to give way in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντενδίδωμι
ΑΝΤΕΝΔΥΟΜΑΙ,ἀντενδύομαι,,ἀντενδύομαι,put on instead,put on instead,put on instead,,,,,,http://logeion.uchicago.edu/index.html#ἀντενδύομαι
ΑΝΤΕΝΕΔΡΑ,ἀντενέδρα,,ἀντενέδρα,counter-ambuscade,counter-ambuscade,counter-ambuscade,,,,,,http://logeion.uchicago.edu/index.html#ἀντενέδρα
ΑΝΤΕΝΕΔΡΕΥΩ,ἀντενεδρεύω,,ἀντενεδρεύω,lay a counter-ambuscade,lay a counter-ambuscade,lay a counter-ambuscade,,,,,,http://logeion.uchicago.edu/index.html#ἀντενεδρεύω
ΑΝΤΕΝΕΡΓΕΩ,ἀντενεργέω,,ἀντενεργέω,to be efficacious against,to be efficacious against,to be efficacious against,,,,,,http://logeion.uchicago.edu/index.html#ἀντενεργέω
ΑΝΤΕΝΕΧΥΡΟΝ,ἀντενέχυρον,,ἀντενέχυρον,counter-pledge,counter-pledge,counter-pledge,,,,,,http://logeion.uchicago.edu/index.html#ἀντενέχυρον
ΑΝΤΕΝΘΕΣΙΣ,ἀντένθεσις,,ἀντένθεσις,insertion instead,insertion instead,insertion instead,,,,,,http://logeion.uchicago.edu/index.html#ἀντένθεσις
ΑΝΤΕΝΙΣΤΗΜΙ,ἀντενίστημι,,ἀντενίστημι,insert instead,insert instead,insert instead,,,,,,http://logeion.uchicago.edu/index.html#ἀντενίστημι
ΑΝΤΕΝΟΙΚΙΖΩ,ἀντενοικίζω,,ἀντενοικίζω,introduce as inhabitants instead,introduce as inhabitants instead,introduce as inhabitants instead,,,,,,http://logeion.uchicago.edu/index.html#ἀντενοικίζω
ΑΝΤΕΝΤΙΘΗΜΙ,ἀντεντίθημι,,ἀντεντίθημι,insert in turn,insert in turn,insert in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεντίθημι
ΑΝΤΕΞΑΓΩ,ἀντεξάγω,,ἀντεξάγω,to export in turn,to export in turn,to export in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξάγω
ΑΝΤΕΞΑΙΡΩ,ἀντεξαίρω,,ἀντεξαίρω,raise to an equal height,raise to an equal height,raise to an equal height,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξαίρω
ΑΝΤΕΞΑΙΤΕΩ,ἀντεξαιτέω,,ἀντεξαιτέω,to demand in return,to demand in return,to demand in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξαιτέω
ΑΝΤΕΞΑΝΙΣΤΑΜΑΙ,ἀντεξανίσταμαι,,ἀντεξανίσταμαι,rise up against,rise up against,rise up against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξανίσταμαι
ΑΝΤΕΞΑΠΑΤΑΩ,ἀντεξαπατάω,,ἀντεξαπατάω,deceive in return,deceive in return,deceive in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξαπατάω
ΑΝΤΕΞΑΡΜΑ,ἀντέξαρμα,,ἀντέξαρμα,southerly elevation,southerly elevation,southerly elevation,,,,,,http://logeion.uchicago.edu/index.html#ἀντέξαρμα
ΑΝΤΕΞΕΙΜΙ,ἀντέξειμι,,ἀντέξειμι,go out against,go out against,go out against,,,,,,http://logeion.uchicago.edu/index.html#ἀντέξειμι
ΑΝΤΕΞΕΛΑΥΝΩ,ἀντεξελαύνω,,ἀντεξελαύνω,"to drive, ride, sail out against","to drive, ride, sail out against","to drive, ride, sail out against",,,,,,http://logeion.uchicago.edu/index.html#ἀντεξελαύνω
ΑΝΤΕΞΕΡΧΟΜΑΙ,ἀντεξέρχομαι,,ἀντεξέρχομαι,go out against,go out against,go out against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξέρχομαι
ΑΝΤΕΞΕΤΑΖΩ,ἀντεξετάζω,,ἀντεξετάζω,to try,to try,to try,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξετάζω
ΑΝΤΕΞΕΤΑΣΙΣ,ἀντεξέτασις,,ἀντεξέτασις,comparison,comparison,comparison,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξέτασις
ΑΝΤΕΞΕΤΑΣΤΕΟΝ,ἀντεξεταστέον,,ἀντεξεταστέον,one must compare,one must compare,one must compare,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξεταστέον
ΑΝΤΕΞΕΤΑΣΤΙΚΟΣ,ἀντεξεταστικός,,ἀντεξεταστικός,comparative,comparative,comparative,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξεταστικός
ΑΝΤΕΞΗΓΗΣΙΣ,ἀντεξήγησις,,ἀντεξήγησις,counter-explanation,counter-explanation,counter-explanation,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξήγησις
ΑΝΤΕΞΗΓΗΤΗΣ,ἀντεξηγητής,,ἀντεξηγητής,deputy,deputy,deputy,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξηγητής
ΑΝΤΕΞΙΠΠΕΥΩ,ἀντεξιππεύω,,ἀντεξιππεύω,to ride out against,to ride out against,to ride out against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξιππεύω
ΑΝΤΕΞΙΣΑΖΩ,ἀντεξισάζω,,ἀντεξισάζω,"make equal, compare","make equal, compare","make equal, compare",,,,,,http://logeion.uchicago.edu/index.html#ἀντεξισάζω
ΑΝΤΕΞΙΣΤΑΜΑΙ,ἀντεξίσταμαι,,ἀντεξίσταμαι,"yield to an altack, retire from the contest","yield to an altack, retire from the contest","yield to an altack, retire from the contest",,,,,,http://logeion.uchicago.edu/index.html#ἀντεξίσταμαι
ΑΝΤΕΞΟΔΟΣ,ἀντέξοδος,,ἀντέξοδος,military movement,military movement,military movement,,,,,,http://logeion.uchicago.edu/index.html#ἀντέξοδος
ΑΝΤΕΞΟΡΜΑΩ,ἀντεξορμάω,,ἀντεξορμάω,sail,sail,sail,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξορμάω
ΑΝΤΕΞΟΡΜΗΣΙΣ,ἀντεξόρμησις,,ἀντεξόρμησις,a sailing against,a sailing against,a sailing against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεξόρμησις
ΑΝΤΕΞΩΣΙΣ,ἀντέξωσις,,ἀντέξωσις,counter-thrust,counter-thrust,counter-thrust,,,,,,http://logeion.uchicago.edu/index.html#ἀντέξωσις
ΑΝΤΕΠΑΓΩ,ἀντεπάγω,,ἀντεπάγω,to lead against,to lead against,to lead against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπάγω
ΑΝΤΕΠΑΔΩ,ἀντεπάδω,,ἀντεπάδω,use charms against,use charms against,use charms against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπάδω
ΑΝΤΕΠΑΙΝΕΩ,ἀντεπαινέω,,ἀντεπαινέω,to praise in return,to praise in return,to praise in return,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπαινέω
ΑΝΤΕΠΑΚΤΕΟΝ,ἀντεπακτέον,,ἀντεπακτέον,one must march against,one must march against,one must march against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπακτέον
ΑΝΤΕΠΑΝΑΓΟΜΑΙ,ἀντεπανάγομαι,,ἀντεπανάγομαι,to put to sea against,to put to sea against,to put to sea against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπανάγομαι
ΑΝΤΕΠΑΡΧΟΣ,ἀντέπαρχος,,ἀντέπαρχος,subpraefectus,subpraefectus,subpraefectus,,,,,,http://logeion.uchicago.edu/index.html#ἀντέπαρχος
ΑΝΤΕΠΑΦΙΗΜΙ,ἀντεπαφίημι,,ἀντεπαφίημι,to let slip against,to let slip against,to let slip against,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπαφίημι
ΑΝΤΕΠΕΙΜΙ,ἀντέπειμι,,ἀντέπειμι,"rush upon, meet an advancing enemy","rush upon, meet an advancing enemy","rush upon, meet an advancing enemy",,,,,,http://logeion.uchicago.edu/index.html#ἀντέπειμι
ΑΝΤΕΠΕΙΣΑΓΟΜΑΙ,ἀντεπεισάγομαι,,ἀντεπεισάγομαι,to be carried in,to be carried in,to be carried in,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπεισάγομαι
ΑΝΤΕΠΕΙΣΕΙΜΙ,ἀντεπείσειμι,,ἀντεπείσειμι,enter in turn,enter in turn,enter in turn,,,,,,http://logeion.uchicago.edu/index.html#ἀντεπείσειμι
