TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΣΚΑΦΙΣ/2,σκαφίς2,,σκαφίς2,boat (dim.),boat (dim.),boat (dim.),,,,,,http://logeion.uchicago.edu/index.html#σκαφίς2
ΣΚΑΦΙΣΤΗΡΙΟΝ,σκαφιστήριον,,σκαφιστήριον,vas in quo triticum mundatur,vas in quo triticum mundatur,vas in quo triticum mundatur,,,,,,http://logeion.uchicago.edu/index.html#σκαφιστήριον
ΣΚΑΦΙΤΗΣ,σκαφίτης,,σκαφίτης,"one who guides a skiff, steersman","one who guides a skiff, steersman","one who guides a skiff, steersman",,,,,,http://logeion.uchicago.edu/index.html#σκαφίτης
ΣΚΑΦΟΕΙΔΗΣ,σκαφοειδής,,σκαφοειδής,"like a bowl, hollow","like a bowl, hollow","like a bowl, hollow",,,,,,http://logeion.uchicago.edu/index.html#σκαφοειδής
ΣΚΑΦΟΛΟΥΤΡΕΩ,σκαφολουτρέω,,σκαφολουτρέω,bathe in a tub,bathe in a tub,bathe in a tub,,,,,,http://logeion.uchicago.edu/index.html#σκαφολουτρέω
ΣΚΑΦΟΠΑΚΤΩΝ,σκαφοπάκτων,,σκαφοπάκτων,boat,boat,boat,,,,,,http://logeion.uchicago.edu/index.html#σκαφοπάκτων
ΣΚΑΦΟΠΛΩΡΟΣ,σκαφόπλωρος,,σκαφόπλωρος,boat,boat,boat,,,,,,http://logeion.uchicago.edu/index.html#σκαφόπλωρος
ΣΚΑΦΟΣ,σκάφος,,σκάφος –ου ὁ,"a digging, hoeing","a digging, hoeing","a digging, hoeing",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#σκάφος
ΣΚΑΦΟΣ/2,σκάφος2,,σκάφος2,(the hull of) a ship,(the hull of) a ship,(the hull of) a ship,,,,,,http://logeion.uchicago.edu/index.html#σκάφος2
ΣΚΑΦΩΡΗ,σκαφώρη,,σκαφώρη,"bitch-fox, vixen","bitch-fox, vixen","bitch-fox, vixen",,,,,,http://logeion.uchicago.edu/index.html#σκαφώρη
ΣΚΕΔΑΣΙΣ,σκέδασις,,σκέδασις,a scattering,a scattering,a scattering,,,,,,http://logeion.uchicago.edu/index.html#σκέδασις
ΣΚΕΔΑΣΤΗΣ,σκεδαστής,,σκεδαστής,scatterer,scatterer,scatterer,,,,,,http://logeion.uchicago.edu/index.html#σκεδαστής
ΣΚΕΔΑΣΤΙΚΟΣ,σκεδαστικός,,σκεδαστικός,able to disperse,able to disperse,able to disperse,,,,,,http://logeion.uchicago.edu/index.html#σκεδαστικός
ΣΚΕΔΑΣΤΟΣ,σκεδαστός,,σκεδαστός,that may be scattered,that may be scattered,that may be scattered,,,,,,http://logeion.uchicago.edu/index.html#σκεδαστός
ΣΚΕΛΕΑΓΗΣ,σκελεαγής,,σκελεαγής,with broken legs,with broken legs,with broken legs,,,,,,http://logeion.uchicago.edu/index.html#σκελεαγής
ΣΚΕΛΕΑΙ,σκέλεαι,,σκέλεαι,breeches,breeches,breeches,,,,,,http://logeion.uchicago.edu/index.html#σκέλεαι
ΣΚΕΛΕΤΕΙΑ,σκελετεία,,σκελετεία,a being withered,a being withered,a being withered,,,,,,http://logeion.uchicago.edu/index.html#σκελετεία
ΣΚΕΛΕΤΕΥΜΑ,σκελέτευμα,,σκελέτευμα,anything withered,anything withered,anything withered,,,,,,http://logeion.uchicago.edu/index.html#σκελέτευμα
ΣΚΕΛΕΤΕΥΩ,σκελετεύω,,σκελετεύω,wither,wither,wither,,,,,,http://logeion.uchicago.edu/index.html#σκελετεύω
ΣΚΕΛΕΤΟΣ,σκελετός,,σκελετός,"dried up, withered","dried up, withered","dried up, withered",,,,,,http://logeion.uchicago.edu/index.html#σκελετός
ΣΚΕΛΕΤΩΔΗΣ,σκελετώδης,,σκελετώδης,like a mummy,like a mummy,like a mummy,,,,,,http://logeion.uchicago.edu/index.html#σκελετώδης
ΣΚΕΛΙΖΩ,σκελίζω,,σκελίζω,Fr.inc.,Fr.inc.,Fr.inc.,,,,,,http://logeion.uchicago.edu/index.html#σκελίζω
ΣΚΕΛΙΣΜΟΣ,σκελισμός,,σκελισμός,snare,snare,snare,,,,,,http://logeion.uchicago.edu/index.html#σκελισμός
ΣΚΕΛΙΦΡΟΣ,σκελιφρός,,σκελιφρός,"dry, parched, lean, dry","dry, parched, lean, dry","dry, parched, lean, dry",,,,,,http://logeion.uchicago.edu/index.html#σκελιφρός
ΣΚΕΛΛΟΣ,σκελλός,,σκελλός,crook-legged,crook-legged,crook-legged,,,,,,http://logeion.uchicago.edu/index.html#σκελλός
ΣΚΕΛΛΩ,σκέλλω,,σκέλλω,"to dry, dry up, make dry, parch","to dry, dry up, make dry, parch","to dry, dry up, make dry, parch",,,,,,http://logeion.uchicago.edu/index.html#σκέλλω
ΣΚΕΛΟΔΕΣΜΟΝ,σκελόδεσμον,,σκελόδεσμον,"garter, crurarium","garter, crurarium","garter, crurarium",,,,,,http://logeion.uchicago.edu/index.html#σκελόδεσμον
ΣΚΕΛΟΚΟΠΙΑ,σκελοκοπία,,σκελοκοπία,fracture of a leg,fracture of a leg,fracture of a leg,,,,,,http://logeion.uchicago.edu/index.html#σκελοκοπία
ΣΚΕΛΟΠΕΔΗ,σκελοπέδη,,σκελοπέδη,fetter,fetter,fetter,,,,,,http://logeion.uchicago.edu/index.html#σκελοπέδη
ΣΚΕΛΟΤΥΡΒΗ,σκελοτύρβη,,σκελοτύρβη,lameness in the leg,lameness in the leg,lameness in the leg,,,,,,http://logeion.uchicago.edu/index.html#σκελοτύρβη
ΣΚΕΜΜΑ,σκέμμα,,σκέμμα,"a subject for speculation, a question","a subject for speculation, a question","a subject for speculation, a question",,,,,,http://logeion.uchicago.edu/index.html#σκέμμα
ΣΚΕΝΔΥΛΗ,σκενδύλη,,σκενδύλη,pincers,pincers,pincers,,,,,,http://logeion.uchicago.edu/index.html#σκενδύλη
