TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΝΙΝΝΗ,νίννη,,νίννη,grandmother,grandmother,grandmother,,,,,,http://logeion.uchicago.edu/index.html#νίννη
ΝΙΝΝΙΟΝ,νιννίον,,νιννίον,pupus,pupus,pupus,,,,,,http://logeion.uchicago.edu/index.html#νιννίον
ΝΙΝΝΟΣ,νίννος,,νίννος,nag,nag,nag,,,,,,http://logeion.uchicago.edu/index.html#νίννος
ΝΙΝΟΣ,Νίνος,,Νίνος ὁ or ἡ,"(fem.) the city Ninus, Niniveh; (masc.) Ninus, founder of Niniveh","(fem.) the city Ninus, Niniveh; (masc.) Ninus, founder of Niniveh","(fem.) the city Ninus, Niniveh; (masc.) Ninus, founder of Niniveh",,,,,,http://logeion.uchicago.edu/index.html#Νίνος
ΝΙΟΒΗ,Νιόβη,,Νιόβη,Niobe,Niobe,Niobe,,,,,,http://logeion.uchicago.edu/index.html#Νιόβη
ΝΙΠΤΗΡ,νιπτήρ,,νιπτήρ,"a washing vessel, basin","a washing vessel, basin","a washing vessel, basin",,,,,,http://logeion.uchicago.edu/index.html#νιπτήρ
ΝΙΠΤΡΟΝ,νίπτρον,,νίπτρον,water for washing,water for washing,water for washing,,,,,,http://logeion.uchicago.edu/index.html#νίπτρον
ΝΙΡΕΥΣ,Νιρεύς,,Νιρεύς,Nireus,Nireus,Nireus,,,,,,http://logeion.uchicago.edu/index.html#Νιρεύς
ΝΙΣΑ,,,Νῖσα,,,,,,,,,http://logeion.uchicago.edu/index.html#Νῖσα
ΝΙΣΑΙΑ,Νίσαια,,Νίσαια ἡ,Nisaea,Nisaea,Nisaea,,,,,,http://logeion.uchicago.edu/index.html#Νίσαια
ΝΙΣΟΜΑΙ,νίσομαι,,νίσομαι,come,come,come,,,,,,http://logeion.uchicago.edu/index.html#νίσομαι
ΝΙΣΣΟΜΑΙ,νίσσομαι,,νίσσομαι,"to go, go away","to go, go away","to go, go away",,,,,,http://logeion.uchicago.edu/index.html#νίσσομαι
ΝΙΣΥΡΟΣ,Νίσυρος,,Νίσυρος,Nisyrus,Nisyrus,Nisyrus,,,,,,http://logeion.uchicago.edu/index.html#Νίσυρος
ΝΙΤΡΑΣΜΑ,νίτρασμα,,νίτρασμα,soap,soap,soap,,,,,,http://logeion.uchicago.edu/index.html#νίτρασμα
