TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΠΗΛΟΓΟΝΟΣ,πηλόγονος,,πηλόγονος,born from clay,born from clay,born from clay,,,,,,http://logeion.uchicago.edu/index.html#πηλόγονος
ΠΗΛΟΔΕΥΣΤΕΩ,πηλοδευστέω,,πηλοδευστέω,make mortar,make mortar,make mortar,,,,,,http://logeion.uchicago.edu/index.html#πηλοδευστέω
ΠΗΛΟΔΟΜΕΩ,πηλοδομέω,,πηλοδομέω,to build of clay,to build of clay,to build of clay,,,,,,http://logeion.uchicago.edu/index.html#πηλοδομέω
ΠΗΛΟΔΟΜΟΣ,πηλόδομος,,πηλόδομος,clay-built,clay-built,clay-built,,,,,,http://logeion.uchicago.edu/index.html#πηλόδομος
ΠΗΛΟΕΨΗΤΗΣ,πηλοεψητής,,πηλοεψητής,"coctiliarius, figulus","coctiliarius, figulus","coctiliarius, figulus",,,,,,http://logeion.uchicago.edu/index.html#πηλοεψητής
ΠΗΛΟΟΜΑΙ,πηλόομαι,,πηλόομαι,to wallow in mire,to wallow in mire,to wallow in mire,,,,,,http://logeion.uchicago.edu/index.html#πηλόομαι
ΠΗΛΟΠΑΤΕΩ,πηλοπατέω,,πηλοπατέω,trample in the mire,trample in the mire,trample in the mire,,,,,,http://logeion.uchicago.edu/index.html#πηλοπατέω
ΠΗΛΟΠΑΤΙΔΕΣ,πηλοπατίδες,,πηλοπατίδες,mudtreaders,mudtreaders,mudtreaders,,,,,,http://logeion.uchicago.edu/index.html#πηλοπατίδες
ΠΗΛΟΠΛΑΘΟΣ,πηλοπλάθος,,πηλοπλάθος,a potter,a potter,a potter,,,,,,http://logeion.uchicago.edu/index.html#πηλοπλάθος
ΠΗΛΟΠΛΑΣΤΟΣ,πηλόπλαστος,,πηλόπλαστος,moulded of clay,moulded of clay,moulded of clay,,,,,,http://logeion.uchicago.edu/index.html#πηλόπλαστος
ΠΗΛΟΠΛΑΤΩΝ,πηλοπλάτων,,πηλοπλάτων,Mud-Plato,Mud-Plato,Mud-Plato,,,,,,http://logeion.uchicago.edu/index.html#πηλοπλάτων
ΠΗΛΟΠΟΙΕΩ,πηλοποιέω,,πηλοποιέω,make muddy,make muddy,make muddy,,,,,,http://logeion.uchicago.edu/index.html#πηλοποιέω
ΠΗΛΟΠΟΙΙΑ,πηλοποιία,,πηλοποιία,potter's trade,potter's trade,potter's trade,,,,,,http://logeion.uchicago.edu/index.html#πηλοποιία
ΠΗΛΟΣ,πηλός,,πηλός,"clay, earth","clay, earth","clay, earth",,,,,,http://logeion.uchicago.edu/index.html#πηλός
ΠΗΛΟΣΤΡΟΦΙΟΝ,πηλοστρόφιον,,πηλοστρόφιον,"machine for kneading mortar, Stud.Pal..","machine for kneading mortar, Stud.Pal..","machine for kneading mortar, Stud.Pal..",,,,,,http://logeion.uchicago.edu/index.html#πηλοστρόφιον
ΠΗΛΟΤΡΟΦΟΣ,πηλότροφος,,πηλότροφος,reared in mud,reared in mud,reared in mud,,,,,,http://logeion.uchicago.edu/index.html#πηλότροφος
ΠΗΛΟΥΡΓΙΑ,πηλουργία,,πηλουργία,working in clay,working in clay,working in clay,,,,,,http://logeion.uchicago.edu/index.html#πηλουργία
ΠΗΛΟΥΡΓΟΣ,πηλουργός,,πηλουργός,a worker in clay,a worker in clay,a worker in clay,,,,,,http://logeion.uchicago.edu/index.html#πηλουργός
ΠΗΛΟΥΣΙΑΚΟΝ,Πηλουσιακόν,,Πηλουσιακόν,(στόμα) the Eastern mouth of the Nile,(στόμα) the Eastern mouth of the Nile,(στόμα) the Eastern mouth of the Nile,,,,,,http://logeion.uchicago.edu/index.html#Πηλουσιακόν
ΠΗΛΟΥΣΙΟΝ,Πηλούσιον,,Πηλούσιον,Pelusium in Egypt,Pelusium in Egypt,Pelusium in Egypt,,,,,,http://logeion.uchicago.edu/index.html#Πηλούσιον
ΠΗΛΟΥΣΙΩΤΗΣ,Πηλουσιώτης,,Πηλουσιώτης,inhabitant of Pelusium in Egypt,inhabitant of Pelusium in Egypt,inhabitant of Pelusium in Egypt,,,,,,http://logeion.uchicago.edu/index.html#Πηλουσιώτης
ΠΗΛΟΦΟΡΕΩ,πηλοφορέω,,πηλοφορέω,to carry clay,to carry clay,to carry clay,,,,,,http://logeion.uchicago.edu/index.html#πηλοφορέω
ΠΗΛΟΦΟΡΟΣ,πηλοφόρος,,πηλοφόρος,carrying clay,carrying clay,carrying clay,,,,,,http://logeion.uchicago.edu/index.html#πηλοφόρος
ΠΗΛΟΧΥΤΟΣ,πηλόχυτος,,πηλόχυτος,moulded of clay,moulded of clay,moulded of clay,,,,,,http://logeion.uchicago.edu/index.html#πηλόχυτος
ΠΗΛΟΩ,πηλόω,,πηλόω,coat,coat,coat,,,,,,http://logeion.uchicago.edu/index.html#πηλόω
ΠΗΛΥΞ,πῆλυξ,,πῆλυξ,"rent, cleft","rent, cleft","rent, cleft",,,,,,http://logeion.uchicago.edu/index.html#πῆλυξ
ΠΗΛΩΔΗΣ,πηλώδης,,πηλώδης,"like clay, clayey, muddy","like clay, clayey, muddy","like clay, clayey, muddy",,,,,,http://logeion.uchicago.edu/index.html#πηλώδης
ΠΗΛΩΜΑ,πήλωμα,,πήλωμα,mud,mud,mud,,,,,,http://logeion.uchicago.edu/index.html#πήλωμα
ΠΗΛΩΣΙΣ,πήλωσις,,πήλωσις,smearing with mud,smearing with mud,smearing with mud,,,,,,http://logeion.uchicago.edu/index.html#πήλωσις
ΠΗΜΑΝΤΕΟΣ,πημαντέος,,πημαντέος,to be injured,to be injured,to be injured,,,,,,http://logeion.uchicago.edu/index.html#πημαντέος
ΠΗΜΟΣ,πῆμος,,πῆμος,when?,when?,when?,,,,,,http://logeion.uchicago.edu/index.html#πῆμος
ΠΗΜΩΝ,πήμων,,πήμων,baneful,baneful,baneful,,,,,,http://logeion.uchicago.edu/index.html#πήμων
ΠΗΝΕΙΟΣ,Πηνειός,,Πηνειός,"Peneüs, a river in Thessaly","Peneüs, a river in Thessaly","Peneüs, a river in Thessaly",,,,,,http://logeion.uchicago.edu/index.html#Πηνειός
ΠΗΝΕΛΕΩΣ,Πηνέλεως,,Πηνέλεως,Peneleos,Peneleos,Peneleos,,,,,,http://logeion.uchicago.edu/index.html#Πηνέλεως
