TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΕΧΘΟΣΔΙΚΟΣ,ἐχθόσδικος,,ἐχθόσδικος,with a foreigner,with a foreigner,with a foreigner,,,,,,http://logeion.uchicago.edu/index.html#ἐχθόσδικος
ΕΧΘΡΑ,ἔχθρα,εχθρα,ἔχθρα –ας ἡ,"hatred, enmity","hatred, enmity","hatred, enmity",1,,,,Noun,http://logeion.uchicago.edu/index.html#ἔχθρα
ΕΧΘΡΑΙΝΩ,ἐχθραίνω,,ἐχθραίνω,to hate,to hate,to hate,,,,,,http://logeion.uchicago.edu/index.html#ἐχθραίνω
ΕΧΘΡΕΥΩ,ἐχθρεύω,,ἐχθρεύω,to be at enmity with,to be at enmity with,to be at enmity with,,,,,,http://logeion.uchicago.edu/index.html#ἐχθρεύω
ΕΧΘΡΙΚΟΣ,ἐχθρικός,,ἐχθρικός,hostile,hostile,hostile,,,,,,http://logeion.uchicago.edu/index.html#ἐχθρικός
ΕΧΘΡΟΔΑΙΜΩΝ,ἐχθροδαίμων,,ἐχθροδαίμων –ον,hated of the gods,hated of the gods,hated of the gods,3,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἐχθροδαίμων
ΕΧΘΡΟΛΕΩΝ,ἐχθρολέων,,ἐχθρολέων,opponent-lion,opponent-lion,opponent-lion,,,,,,http://logeion.uchicago.edu/index.html#ἐχθρολέων
ΕΧΘΡΟΠΟΙΕΩ,ἐχθροποιέω,,ἐχθροποιέω,make hostile,make hostile,make hostile,,,,,,http://logeion.uchicago.edu/index.html#ἐχθροποιέω
ΕΧΘΡΟΠΟΙΟΣ,ἐχθροποιός,,ἐχθροποιός,causing enmity,causing enmity,causing enmity,,,,,,http://logeion.uchicago.edu/index.html#ἐχθροποιός
ΕΧΘΡΟΣ,ἐχθρός,Εχθρος,ἐχθρός –οῦ ὁ,enemy,"hated, hateful; enemy","hated, hateful; enemy",2,,,,Noun,http://logeion.uchicago.edu/index.html#ἐχθρός
ΕΧΘΡΟΦΡΩΝ,ἐχθρόφρων,,ἐχθρόφρων,hostile in disposition,hostile in disposition,hostile in disposition,,,,,,http://logeion.uchicago.edu/index.html#ἐχθρόφρων
ΕΧΘΡΩΔΕΩ,ἐχθρωδέω,,ἐχθρωδέω,to be hostile,to be hostile,to be hostile,,,,,,http://logeion.uchicago.edu/index.html#ἐχθρωδέω
ΕΧΘΡΩΔΗΣ,ἐχθρώδης,,ἐχθρώδης,hostile,hostile,hostile,,,,,,http://logeion.uchicago.edu/index.html#ἐχθρώδης
ΕΧΘΩ,ἔχθω,,ἔχθω ––– ––– ––– ––– –––,to hate,to hate,to hate,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἔχθω
ΕΧΘΩ/2,ἔχθω2,,ἔχθω2,except,except,except,,,,,,http://logeion.uchicago.edu/index.html#ἔχθω2
ΕΧΙΔΙΟΝ,ἐχίδιον,,ἐχίδιον,young viper,young viper,young viper,,,,,,http://logeion.uchicago.edu/index.html#ἐχίδιον
ΕΧΙΔΝΑ,ἔχιδνα,,ἔχιδνα –ης ἡ,"an adder, viper","an adder, viper","an adder, viper",,,,,Noun,http://logeion.uchicago.edu/index.html#ἔχιδνα
ΕΧΙΔΝΑΙΟΣ,ἐχιδναῖος,,ἐχιδναῖος,of a viper,of a viper,of a viper,,,,,,http://logeion.uchicago.edu/index.html#ἐχιδναῖος
ΕΧΙΔΝΗΕΙΣ,ἐχιδνήεις,,ἐχιδνήεις,drawn by vipers,drawn by vipers,drawn by vipers,,,,,,http://logeion.uchicago.edu/index.html#ἐχιδνήεις
ΕΧΙΔΝΟΕΙΔΗΣ,ἐχιδνοειδής,,ἐχιδνοειδής,snake-like,snake-like,snake-like,,,,,,http://logeion.uchicago.edu/index.html#ἐχιδνοειδής
ΕΧΙΔΝΟΚΕΦΑΛΟΣ,ἐχιδνοκέφαλος,,ἐχιδνοκέφαλος,snakeheaded,snakeheaded,snakeheaded,,,,,,http://logeion.uchicago.edu/index.html#ἐχιδνοκέφαλος
ΕΧΙΔΝΟΚΟΜΟΣ,ἐχιδνόκομος,,ἐχιδνόκομος,snaky-haired,snaky-haired,snaky-haired,,,,,,http://logeion.uchicago.edu/index.html#ἐχιδνόκομος
ΕΧΙΔΝΟΛΟΓΕΩ,ἐχιδνολογέω,,ἐχιδνολογέω,collect vipers,collect vipers,collect vipers,,,,,,http://logeion.uchicago.edu/index.html#ἐχιδνολογέω
ΕΧΙΔΝΟΤΟΚΟΣ,ἐχιδνότοκος,,ἐχιδνότοκος,born of a viper,born of a viper,born of a viper,,,,,,http://logeion.uchicago.edu/index.html#ἐχιδνότοκος
ΕΧΙΔΝΟΦΑΓΙΑ,ἐχιδνοφαγία,,ἐχιδνοφαγία,eating of vipers,eating of vipers,eating of vipers,,,,,,http://logeion.uchicago.edu/index.html#ἐχιδνοφαγία
ΕΧΙΕΥΣ,ἐχιεύς,,ἐχιεύς,a young viper,a young viper,a young viper,,,,,,http://logeion.uchicago.edu/index.html#ἐχιεύς
ΕΧΙΝΑΙ,Ἐχῖναι,,Ἐχῖναι,the islands in the Ionian sea,the islands in the Ionian sea,the islands in the Ionian sea,,,,,,http://logeion.uchicago.edu/index.html#Ἐχῖναι
ΕΧΙΝΑΛΩΠΗΞ,ἐχιναλώπηξ,,ἐχιναλώπηξ,hedgehog-fox,hedgehog-fox,hedgehog-fox,,,,,,http://logeion.uchicago.edu/index.html#ἐχιναλώπηξ
ΕΧΙΝΕΑ,ἐχινέα,,ἐχινέα,vase,vase,vase,,,,,,http://logeion.uchicago.edu/index.html#ἐχινέα
ΕΧΙΝΕΕΣ,ἐχινέες,,ἐχινέες,a kind of mouse with bristly hair,a kind of mouse with bristly hair,a kind of mouse with bristly hair,,,,,,http://logeion.uchicago.edu/index.html#ἐχινέες
ΕΧΙΝΗ,ἐχινῆ,,ἐχινῆ,hedgehog's skin,hedgehog's skin,hedgehog's skin,,,,,,http://logeion.uchicago.edu/index.html#ἐχινῆ
ΕΧΙΝΙΣΚΟΣ,ἐχινίσκος,,ἐχινίσκος,hollow of the ear,hollow of the ear,hollow of the ear,,,,,,http://logeion.uchicago.edu/index.html#ἐχινίσκος
ΕΧΙΝΟΜΗΤΡΑ,ἐχινομήτρα,,ἐχινομήτρα,"the largest kind of sea-urchin, Echinus melo","the largest kind of sea-urchin, Echinus melo","the largest kind of sea-urchin, Echinus melo",,,,,,http://logeion.uchicago.edu/index.html#ἐχινομήτρα
ΕΧΙΝΟΠΟΥΣ,ἐχινόπους,,ἐχινόπους,"kind of prickly-plant, Genista acanthoclada","kind of prickly-plant, Genista acanthoclada","kind of prickly-plant, Genista acanthoclada",,,,,,http://logeion.uchicago.edu/index.html#ἐχινόπους
ΕΧΙΝΟΣ,ἐχῖνος,,ἐχῖνος,"the urchin, hedgehog","the urchin, hedgehog","the urchin, hedgehog",,,,,,http://logeion.uchicago.edu/index.html#ἐχῖνος
ΕΧΙΝΩΔΗΣ,ἐχινώδης,,ἐχινώδης,"prickly, like a hedgehog","prickly, like a hedgehog","prickly, like a hedgehog",,,,,,http://logeion.uchicago.edu/index.html#ἐχινώδης
ΕΧΙΟΝ,ἔχιον,,ἔχιον,Echium plantagineum,Echium plantagineum,Echium plantagineum,,,,,,http://logeion.uchicago.edu/index.html#ἔχιον
ΕΧΙΟΣ,,,Ἐχίος,Echios,"Echios, Ἐχίος : (1) the father of Mecisteus, Il. 8.333.—(2) a Lycian, slain by Patroclus, Il. 16.416.—(3) a Lycian, slain by Polītes, Il. 15.339","Echios, Ἐχίος : (1) the father of Mecisteus, Il. 8.333.—(2) a Lycian, slain by Patroclus, Il. 16.416.—(3) a Lycian, slain by Polītes, Il. 15.339",,,,,,http://logeion.uchicago.edu/index.html#Ἐχίος
ΕΧΙΣ,ἔχις,εχις,ἔχις –εως ὁ,"adder, viper","an adder, viper","an adder, viper",3,,,,Noun,http://logeion.uchicago.edu/index.html#ἔχις
ΕΧΙΤΗΣ,ἐχίτης,,ἐχίτης,stone,stone,stone,,,,,,http://logeion.uchicago.edu/index.html#ἐχίτης
ΕΧΙΩΝ,Ἐχίων,,Ἐχίων,Echion,Echion,Echion,,,,,,http://logeion.uchicago.edu/index.html#Ἐχίων
ΕΧΜΑ,ἔχμα,,ἔχμα,that which holds;,that which holds;,that which holds;,,,,,,http://logeion.uchicago.edu/index.html#ἔχμα
ΕΧΜΑΖΩ,ἐχμάζω,,ἐχμάζω,"hold fast, hinder","hold fast, hinder","hold fast, hinder",,,,,,http://logeion.uchicago.edu/index.html#ἐχμάζω
ΕΧΟΜΕΝΙΟΝ,ἐχομένιον,,ἐχομένιον,coriander,coriander,coriander,,,,,,http://logeion.uchicago.edu/index.html#ἐχομένιον
